# l	P(l)/(4*pi*l^2)
4.035 0.497056
4.045 0.483758
4.055 0.471453
4.065 0.459825
4.075 0.448561
4.085 0.437346
4.095 0.425937
4.105 0.414383
4.115 0.402803
4.125 0.391315
4.135 0.38004
4.145 0.369097
4.155 0.358606
4.165 0.348686
4.175 0.339456
4.185 0.331036
4.195 0.323546
4.205 0.317075
4.215 0.3116
4.225 0.307064
4.235 0.303414
4.245 0.300596
4.255 0.298554
4.265 0.297235
4.275 0.296584
4.285 0.296547
4.295 0.297069
4.305 0.298096
4.315 0.299573
4.325 0.301446
4.335 0.303661
4.345 0.306164
4.355 0.308899
4.365 0.311812
4.375 0.31485
4.385 0.317957
4.395 0.321079
4.405 0.324162
4.415 0.327152
4.425 0.329993
4.435 0.332619
4.445 0.334908
4.455 0.336727
4.465 0.337941
4.475 0.338417
4.485 0.338021
4.495 0.336618
4.505 0.334075
4.515 0.330258
4.525 0.325032
4.535 0.318264
4.545 0.30982
4.555 0.299627
4.565 0.287855
4.575 0.274738
4.585 0.260508
4.595 0.245396
4.605 0.229636
4.615 0.213459
4.625 0.197098
4.635 0.180786
4.645 0.164753
4.655 0.149233
4.665 0.134423
4.675 0.120375
4.685 0.107107
4.695 0.0946374
4.705 0.0829831
4.715 0.0721619
4.725 0.0621915
4.735 0.0530894
4.745 0.0448734
4.755 0.037561
4.765 0.0311699
4.775 0.0257177
4.785 0.0211937
4.795 0.0174739
4.805 0.0144059
4.815 0.0118374
4.825 0.00961608
4.835 0.00758951
4.845 0.00565708
4.855 0.00392491
4.865 0.00255081
4.875 0.00169259
4.885 0.00150805
4.895 0.0014941
4.905 0.0014879
4.915 0.00148099
4.925 0.00148099
4.935 0.00148099
4.945 0.00148099
4.955 0.00148099
4.965 0.00148099
4.975 0.00148099
4.985 0.00148099
4.995 0.00148099
5.005 0.00148099
5.015 0.00148099
5.025 0.00148099
5.035 0.00148099
5.045 0.00148099
5.055 0.00148099
5.065 0.00148099
5.075 0.00148099
5.085 0.00148099
5.095 0.00148099
5.105 0.00148099
5.115 0.00148099
5.125 0.00148099
5.135 0.00148099
5.145 0.00148099
5.155 0.00148099
5.165 0.00148099
5.175 0.00148099
5.185 0.00148099
5.195 0.00148099
5.205 0.00148099
5.215 0.00148099
5.225 0.00148099
5.235 0.00148099
5.245 0.00148099
5.255 0.00148099
5.265 0.00148099
5.275 0.00148099
5.285 0.00148099
5.295 0.00148099
5.305 0.00148099
5.315 0.00148099
5.325 0.00148099
5.335 0.00148099
5.345 0.00148099
5.355 0.00148099
5.365 0.00148099
5.375 0.00148099
5.385 0.00148099
5.395 0.00148099
5.405 0.00148099
5.415 0.00148099
5.425 0.00148099
5.435 0.00148099
5.445 0.00148099
5.455 0.00148099
5.465 0.00148099
5.475 0.00148099
5.485 0.00148099
5.495 0.00148099
5.505 0.00148099
5.515 0.00148099
5.525 0.00148099
5.535 0.00148099
5.545 0.00148099
5.555 0.00148099
5.565 0.00148099
5.575 0.00148099
5.585 0.00148099
5.595 0.00148099
5.605 0.00148099
5.615 0.00148099
5.625 0.00148099
5.635 0.00148099
5.645 0.00148099
5.655 0.00148099
5.665 0.00148099
5.675 0.00148099
5.685 0.00148099
5.695 0.00148099
5.705 0.00148099
5.715 0.00148099
5.725 0.00148099
5.735 0.00148099
5.745 0.00148099
5.755 0.00148099
5.765 0.00148099
5.775 0.00148099
5.785 0.00148099
5.795 0.00148099
5.805 0.00148099
5.815 0.00148099
5.825 0.00148099
5.835 0.00148099
5.845 0.00148099
5.855 0.00148099
5.865 0.00148099
5.875 0.00148099
5.885 0.00148099
5.895 0.00148099
5.905 0.00148099
5.915 0.00148099
5.925 0.00148099
5.935 0.00148099
5.945 0.00148099
5.955 0.00148099
5.965 0.00148099
5.975 0.00148099
5.985 0.00148099
5.995 0.00148099
6.005 0.00148099
6.015 0.00148099
6.025 0.00148099
6.035 0.00148099
6.045 0.00148099
6.055 0.00148099
6.065 0.00148099
6.075 0.00148099
6.085 0.00148099
6.095 0.00148099
6.105 0.00148099
6.115 0.00148099
6.125 0.00148099
6.135 0.00148099
6.145 0.00148099
6.155 0.00148099
6.165 0.00148099
6.175 0.00148099
6.185 0.00148099
6.195 0.00148099
6.205 0.00148099
6.215 0.00148099
6.225 0.00148099
6.235 0.00148099
6.245 0.00148099
6.255 0.00148099
6.265 0.00148099
6.275 0.00148099
6.285 0.00148099
6.295 0.00148099
6.305 0.00148099
6.315 0.00148099
6.325 0.00148099
6.335 0.00148099
6.345 0.00148099
6.355 0.00148099
6.365 0.00148099
6.375 0.00148099
6.385 0.00148099
6.395 0.00148099
6.405 0.00148099
6.415 0.00148099
6.425 0.00148099
6.435 0.00148099
6.445 0.00148099
6.455 0.00148099
6.465 0.00148099
6.475 0.00148099
6.485 0.00148099
6.495 0.00148099
6.505 0.00148099
6.515 0.00148099
6.525 0.00148099
6.535 0.00148099
6.545 0.00148099
6.555 0.00148099
6.565 0.00148099
6.575 0.00148099
6.585 0.00148099
6.595 0.00148099
6.605 0.00148099
6.615 0.00148099
6.625 0.00148099
6.635 0.00148099
6.645 0.00148099
6.655 0.00148099
6.665 0.00148099
6.675 0.00148099
6.685 0.00148099
6.695 0.00148099
6.705 0.00148099
6.715 0.00148099
6.725 0.00148099
6.735 0.00148099
6.745 0.00148099
6.755 0.00148099
6.765 0.00148099
6.775 0.00148099
6.785 0.00148099
6.795 0.00148099
6.805 0.00148099
6.815 0.00148099
6.825 0.00148099
6.835 0.00148099
6.845 0.00148099
6.855 0.00148099
6.865 0.00148099
6.875 0.00148099
6.885 0.00148099
6.895 0.00148099
6.905 0.00148099
6.915 0.00148099
6.925 0.00148099
6.935 0.00148099
6.945 0.00148099
6.955 0.00148099
6.965 0.00148099
6.975 0.00148099
6.985 0.00148099
6.995 0.00148099
