# l	P(l)/(4*pi*l^2)
2.005 0.00148099
2.015 0.00148099
2.025 0.00148099
2.035 0.00148099
2.045 0.00148099
2.055 0.00148099
2.065 0.00148099
2.075 0.00148099
2.085 0.00148099
2.095 0.00148099
2.105 0.00148099
2.115 0.00148099
2.125 0.00148099
2.135 0.00148099
2.145 0.00148099
2.155 0.00148099
2.165 0.00148099
2.175 0.00148099
2.185 0.00148099
2.195 0.00148099
2.205 0.00148099
2.215 0.00148099
2.225 0.00148099
2.235 0.00148099
2.245 0.00148099
2.255 0.00148099
2.265 0.00148099
2.275 0.00148099
2.285 0.00148099
2.295 0.00148099
2.305 0.00148099
2.315 0.00148099
2.325 0.00148099
2.335 0.00148099
2.345 0.00148099
2.355 0.00148099
2.365 0.00148099
2.375 0.00148099
2.385 0.00148099
2.395 0.00148099
2.405 0.00148099
2.415 0.00148099
2.425 0.00148099
2.435 0.00148099
2.445 0.00148099
2.455 0.00148099
2.465 0.00148099
2.475 0.00148099
2.485 0.00148099
2.495 0.00148099
2.505 0.00148099
2.515 0.00148099
2.525 0.00148099
2.535 0.00148099
2.545 0.00148099
2.555 0.00148099
2.565 0.00148099
2.575 0.00148099
2.585 0.00148099
2.595 0.00148099
2.605 0.00148099
2.615 0.00148099
2.625 0.00148099
2.635 0.00148099
2.645 0.00148099
2.655 0.00148099
2.665 0.00148099
2.675 0.00148099
2.685 0.00148099
2.695 0.00148099
2.705 0.00148099
2.715 0.00148099
2.725 0.00148099
2.735 0.00148099
2.745 0.00148099
2.755 0.00148099
2.765 0.00148099
2.775 0.00148099
2.785 0.00148099
2.795 0.00148099
2.805 0.00148099
2.815 0.00148099
2.825 0.00148099
2.835 0.00148099
2.845 0.00148099
2.855 0.00148099
2.865 0.00148099
2.875 0.00148099
2.885 0.00148099
2.895 0.00148099
2.905 0.00148099
2.915 0.00148099
2.925 0.00148099
2.935 0.00148099
2.945 0.00148099
2.955 0.00148099
2.965 0.00148099
2.975 0.00148099
2.985 0.00148099
2.995 0.00148099
3.005 0.00148099
3.015 0.00148099
3.025 0.00148099
3.035 0.00367087
3.045 0.00148099
3.055 0.00457131
3.065 0.00503166
3.075 0.00562067
3.085 0.00642976
3.095 0.00755037
3.105 0.00907391
3.115 0.011145
3.125 0.014121
3.135 0.0184124
3.145 0.0244298
3.155 0.0325838
3.165 0.0432848
3.175 0.0569331
3.185 0.0738871
3.195 0.094495
3.205 0.119105
3.215 0.148065
3.225 0.181724
3.235 0.220428
3.245 0.264528
3.255 0.31437
3.265 0.370304
3.275 0.432676
3.285 0.501556
3.295 0.575894
3.305 0.654361
3.315 0.735627
3.325 0.818365
3.335 0.901244
3.345 0.982935
3.355 1.06211
3.365 1.13744
3.375 1.20759
3.385 1.27124
3.395 1.32706
3.405 1.37398
3.415 1.41202
3.425 1.44146
3.435 1.46258
3.445 1.47566
3.455 1.48099
3.465 1.47884
3.475 1.46949
3.485 1.45322
3.495 1.43033
3.505 1.40108
3.515 1.3659
3.525 1.32582
3.535 1.28201
3.545 1.23562
3.555 1.18784
3.565 1.13982
3.575 1.09273
3.585 1.04775
3.595 1.00604
3.605 0.968764
3.615 0.937096
3.625 0.912202
3.635 0.89492
3.645 0.884772
3.655 0.88095
3.665 0.882647
3.675 0.889056
3.685 0.899368
3.695 0.912777
3.705 0.928474
3.715 0.945653
3.725 0.963505
3.735 0.981223
3.745 0.998073
3.755 1.01361
3.765 1.02747
3.775 1.03928
3.785 1.04868
3.795 1.05528
3.805 1.05873
3.815 1.05865
3.825 1.05468
3.835 1.04644
3.845 1.03358
3.855 1.0157
3.865 0.992657
3.875 0.965046
3.885 0.933678
3.895 0.899359
3.905 0.862898
3.915 0.825101
3.925 0.786776
3.935 0.748729
3.945 0.711768
3.955 0.676701
3.965 0.644333
3.975 0.615287
3.985 0.589433
3.995 0.566458
4.005 0.546047
4.015 0.527886
4.025 0.511661
