# r	rdf(r)
0.015 0.00100441
0.045 0.00100441
0.075 0.00100441
0.105 0.00100441
0.135 0.00100441
0.165 0.00100441
0.195 0.00100441
0.225 0.00100441
0.255 0.00100441
0.285 0.00100441
0.315 0.00100441
0.345 0.00100441
0.375 0.00100441
0.405 0.00100441
0.435 0.00100441
0.465 0.00100441
0.495 0.00100441
0.525 0.00100441
0.555 0.00100441
0.585 0.00100441
0.615 0.00100441
0.645 0.00100441
0.675 0.00100441
0.705 0.00100441
0.735 0.00100441
0.765 0.00100441
0.795 0.00100441
0.825 0.00100441
0.855 0.00100441
0.885 0.00100441
0.915 0.00100441
0.945 0.00100441
0.975 0.00100441
1.005 0.00100441
1.035 0.00100441
1.065 0.00100441
1.095 0.00100441
1.125 0.00100441
1.155 0.00100441
1.185 0.00100441
1.215 0.00100441
1.245 0.00100441
1.275 0.00100441
1.305 0.00100441
1.335 0.00100441
1.365 0.00100441
1.395 0.00100441
1.425 0.00100441
1.455 0.00100441
1.485 0.00100441
1.515 0.00100441
1.545 0.00100441
1.575 0.00100441
1.605 0.00100441
1.635 0.00100441
1.665 0.00100441
1.695 0.00100441
1.725 0.00100441
1.755 0.00100441
1.785 0.00100441
1.815 0.00100441
1.845 0.00100441
1.875 0.00100441
1.905 0.00100441
1.935 0.00100441
1.965 0.00100441
1.995 0.00100441
2.025 0.00100441
2.055 0.00100441
2.085 0.00100441
2.115 0.00100441
2.145 0.00100441
2.175 0.00100441
2.205 0.00100441
2.235 0.00100441
2.265 0.00100441
2.295 0.00100441
2.325 0.00100441
2.355 0.00100441
2.385 0.00100441
2.415 0.00100441
2.445 0.00100441
2.475 0.00100441
2.505 0.00100441
2.535 0.00100441
2.565 0.00100441
2.595 0.00100441
2.625 0.00100441
2.655 0.00100441
2.685 0.00100441
2.715 0.00100441
2.745 0.00100441
2.775 0.00100441
2.805 0.00100441
2.835 0.00100441
2.865 0.00100441
2.895 0.00100441
2.925 0.00100441
2.955 0.00100441
2.985 0.00100441
3.015 0.00100441
3.045 0.00100441
3.075 0.00100441
3.105 0.00100441
3.135 0.00100441
3.165 0.00100441
3.195 0.00100441
3.225 0.00100441
3.255 0.00100441
3.285 0.00100441
3.315 0.00100441
3.345 0.00100441
3.375 0.00100441
3.405 0.00100441
3.435 0.00100441
3.465 0.00100441
3.495 0.00100441
3.525 0.00100441
3.555 0.00136314
3.585 0.00191795
3.615 0.00257034
3.645 0.00333477
3.675 0.00422574
3.705 0.00525772
3.735 0.00644518
3.765 0.00780261
3.795 0.00934607
3.825 0.0110979
3.855 0.0130821
3.885 0.0153225
3.915 0.0178432
3.945 0.0206681
3.975 0.023821
4.005 0.0273265
4.035 0.0312109
4.065 0.0355012
4.095 0.0402242
4.125 0.0454069
4.155 0.0510761
4.185 0.0572587
4.215 0.0639816
4.245 0.0712718
4.275 0.079156
4.305 0.0876613
4.335 0.0968145
4.365 0.106642
4.395 0.117172
4.425 0.12842
4.455 0.140359
4.485 0.152953
4.515 0.166164
4.545 0.179956
4.575 0.194291
4.605 0.209133
4.635 0.224444
4.665 0.240188
4.695 0.256327
4.725 0.272824
4.755 0.289643
4.785 0.306746
4.815 0.324097
4.845 0.341658
4.875 0.359392
4.905 0.377263
4.935 0.395233
4.965 0.413265
4.995 0.431323
5.025 0.449368
5.055 0.467365
5.085 0.485276
5.115 0.503064
5.145 0.520693
5.175 0.538124
5.205 0.555322
5.235 0.572249
5.265 0.588871
5.295 0.605166
5.325 0.621117
5.355 0.636703
5.385 0.651908
5.415 0.666712
5.445 0.681097
5.475 0.695043
5.505 0.708534
5.535 0.721549
5.565 0.734071
5.595 0.74608
5.625 0.757559
5.655 0.768489
5.685 0.77885
5.715 0.788626
5.745 0.797796
5.775 0.806343
5.805 0.814248
5.835 0.821492
5.865 0.828057
5.895 0.833924
5.925 0.839075
5.955 0.843491
5.985 0.847153
6.015 0.850044
6.045 0.852143
6.075 0.853434
6.105 0.853906
6.135 0.853591
6.165 0.852527
6.195 0.850754
6.225 0.848313
6.255 0.845242
6.285 0.841582
6.315 0.837372
6.345 0.832652
6.375 0.827461
6.405 0.82184
6.435 0.815828
6.465 0.809464
6.495 0.802789
6.525 0.795842
6.555 0.788663
6.585 0.781292
6.615 0.773767
6.645 0.76613
6.675 0.758419
6.705 0.750675
6.735 0.742936
6.765 0.735244
6.795 0.727637
6.825 0.720155
6.855 0.712838
6.885 0.705725
6.915 0.69885
6.945 0.692216
6.975 0.685821
7.005 0.679662
7.035 0.673737
7.065 0.668041
7.095 0.662573
7.125 0.65733
7.155 0.652309
7.185 0.647507
7.215 0.642922
7.245 0.63855
7.275 0.63439
7.305 0.630437
7.335 0.62669
7.365 0.623145
7.395 0.6198
7.425 0.616652
7.455 0.613699
7.485 0.610936
7.515 0.608363
7.545 0.605975
7.575 0.603771
7.605 0.601746
7.635 0.599899
7.665 0.598227
7.695 0.596727
7.725 0.595396
7.755 0.594232
7.785 0.593231
7.815 0.592391
7.845 0.591709
7.875 0.591182
7.905 0.590808
7.935 0.590584
7.965 0.590506
7.995 0.590573
8.025 0.59078
8.055 0.591127
8.085 0.591609
8.115 0.592224
8.145 0.59297
8.175 0.593843
8.205 0.594841
8.235 0.59596
8.265 0.597199
8.295 0.598554
8.325 0.600022
8.355 0.601602
8.385 0.603289
8.415 0.605081
8.445 0.606976
8.475 0.608971
8.505 0.611062
8.535 0.613247
8.565 0.615524
8.595 0.617889
8.625 0.62034
8.655 0.622874
8.685 0.625488
8.715 0.628179
8.745 0.630945
8.775 0.633783
8.805 0.63669
8.835 0.639663
8.865 0.6427
8.895 0.645797
8.925 0.648952
8.955 0.652162
8.985 0.655425
9.015 0.658737
9.045 0.662096
9.075 0.665499
9.105 0.668943
9.135 0.672425
9.165 0.675944
9.195 0.679495
9.225 0.683076
9.255 0.686684
9.285 0.690317
9.315 0.693972
9.345 0.697646
9.375 0.701335
9.405 0.705039
9.435 0.708752
9.465 0.712474
9.495 0.716201
9.525 0.71993
9.555 0.723658
9.585 0.727383
9.615 0.731102
9.645 0.734813
9.675 0.738511
9.705 0.742195
9.735 0.745862
9.765 0.749509
9.795 0.753133
9.825 0.756732
9.855 0.760302
9.885 0.763841
9.915 0.767346
9.945 0.770815
9.975 0.774244
10.005 0.777631
10.035 0.780973
10.065 0.784267
10.095 0.78751
10.125 0.7907
10.155 0.793834
10.185 0.796909
10.215 0.799923
10.245 0.802875
10.275 0.805768
10.305 0.8086
10.335 0.811373
10.365 0.814088
10.395 0.816745
10.425 0.819345
10.455 0.821888
10.485 0.824375
10.515 0.826807
10.545 0.829184
10.575 0.831508
10.605 0.833778
10.635 0.835995
10.665 0.83816
10.695 0.840274
10.725 0.842337
10.755 0.844349
10.785 0.846313
10.815 0.848227
10.845 0.850093
10.875 0.851912
10.905 0.853683
10.935 0.855409
10.965 0.857089
10.995 0.858723
11.025 0.860314
11.055 0.86186
11.085 0.863364
11.115 0.864825
11.145 0.866245
11.175 0.867623
11.205 0.868961
11.235 0.870259
