# r	rdf(r)
11.265 0.871517
11.295 0.872737
11.325 0.87392
11.355 0.875065
11.385 0.876173
11.415 0.877245
11.445 0.878282
11.475 0.879284
11.505 0.880253
11.535 0.881187
11.565 0.882089
11.595 0.882959
11.625 0.883797
11.655 0.884605
11.685 0.885382
11.715 0.88613
11.745 0.886849
11.775 0.887539
11.805 0.888202
11.835 0.888838
11.865 0.889448
11.895 0.890031
11.925 0.89059
11.955 0.891125
11.985 0.891635
12.015 0.892123
12.045 0.892588
12.075 0.893031
12.105 0.893453
12.135 0.893854
12.165 0.894236
12.195 0.894598
12.225 0.894941
12.255 0.895267
12.285 0.895575
12.315 0.895867
12.345 0.896142
12.375 0.896402
12.405 0.896647
12.435 0.896879
12.465 0.897096
12.495 0.897301
12.525 0.897494
12.555 0.897675
12.585 0.897845
12.615 0.898005
12.645 0.898155
12.675 0.898296
12.705 0.898429
12.735 0.898555
12.765 0.898673
12.795 0.898785
12.825 0.898891
12.855 0.898991
12.885 0.899088
12.915 0.89918
12.945 0.89927
12.975 0.899357
13.005 0.899442
13.035 0.899525
13.065 0.899608
13.095 0.899691
13.125 0.899775
13.155 0.89986
13.185 0.899947
13.215 0.900037
13.245 0.90013
13.275 0.900226
13.305 0.900328
13.335 0.900434
13.365 0.900546
13.395 0.900665
13.425 0.900791
13.455 0.900924
13.485 0.901066
13.515 0.901217
13.545 0.901376
13.575 0.901545
13.605 0.901722
13.635 0.901908
13.665 0.902102
13.695 0.902305
13.725 0.902516
13.755 0.902735
13.785 0.902962
13.815 0.903196
13.845 0.903439
13.875 0.903689
13.905 0.903947
13.935 0.904213
13.965 0.904485
13.995 0.904765
14.025 0.905053
14.055 0.905347
14.085 0.905648
14.115 0.905955
14.145 0.90627
14.175 0.906591
14.205 0.906918
14.235 0.907252
14.265 0.907592
14.295 0.907938
14.325 0.90829
14.355 0.908648
14.385 0.909012
14.415 0.909381
14.445 0.909756
14.475 0.910137
14.505 0.910522
14.535 0.910913
14.565 0.911309
14.595 0.91171
14.625 0.912116
14.655 0.912527
14.685 0.912942
14.715 0.913362
14.745 0.913786
14.775 0.914215
14.805 0.914648
14.835 0.915084
14.865 0.915525
14.895 0.91597
14.925 0.916418
14.955 0.916871
14.985 0.917326
15.015 0.917785
15.045 0.918248
15.075 0.918713
15.105 0.919182
15.135 0.919653
15.165 0.920128
15.195 0.920605
15.225 0.921085
15.255 0.921567
15.285 0.922052
15.315 0.922539
15.345 0.923028
15.375 0.923519
15.405 0.924013
15.435 0.924508
15.465 0.925005
15.495 0.925503
15.525 0.926003
15.555 0.926504
15.585 0.927007
15.615 0.927511
15.645 0.928016
15.675 0.928521
15.705 0.929028
15.735 0.929535
15.765 0.930043
15.795 0.930552
15.825 0.931061
15.855 0.93157
15.885 0.932079
15.915 0.932589
15.945 0.933098
15.975 0.933607
16.005 0.934116
16.035 0.934624
16.065 0.935132
16.095 0.935639
16.125 0.936146
16.155 0.936652
16.185 0.937157
16.215 0.93766
16.245 0.938163
16.275 0.938664
16.305 0.939164
16.335 0.939662
16.365 0.940159
16.395 0.940653
16.425 0.941146
16.455 0.941638
16.485 0.942127
16.515 0.942613
16.545 0.943098
16.575 0.94358
16.605 0.944059
16.635 0.944536
16.665 0.94501
16.695 0.945482
16.725 0.94595
16.755 0.946415
16.785 0.946877
16.815 0.947336
16.845 0.947791
16.875 0.948243
16.905 0.948692
16.935 0.949138
16.965 0.94958
16.995 0.950019
17.025 0.950455
17.055 0.950887
17.085 0.951317
17.115 0.951743
17.145 0.952166
17.175 0.952586
17.205 0.953003
17.235 0.953416
17.265 0.953827
17.295 0.954234
17.325 0.954638
17.355 0.955039
17.385 0.955437
17.415 0.955832
17.445 0.956224
17.475 0.956613
17.505 0.956999
17.535 0.957382
17.565 0.957761
17.595 0.958138
17.625 0.958512
17.655 0.958883
17.685 0.959251
17.715 0.959616
17.745 0.959978
17.775 0.960337
17.805 0.960693
17.835 0.961046
17.865 0.961397
17.895 0.961744
17.925 0.962089
17.955 0.962431
17.985 0.96277
18.015 0.963106
18.045 0.963439
18.075 0.96377
18.105 0.964098
18.135 0.964423
18.165 0.964745
18.195 0.965065
18.225 0.965381
18.255 0.965695
18.285 0.966007
18.315 0.966315
18.345 0.966621
18.375 0.966925
18.405 0.967225
18.435 0.967523
18.465 0.967819
18.495 0.968112
18.525 0.968402
18.555 0.968689
18.585 0.968974
18.615 0.969257
18.645 0.969536
18.675 0.969814
18.705 0.970088
18.735 0.970361
18.765 0.97063
18.795 0.970897
18.825 0.971162
18.855 0.971424
18.885 0.971684
18.915 0.971942
18.945 0.972196
18.975 0.972449
19.005 0.972699
19.035 0.972947
19.065 0.973192
19.095 0.973435
19.125 0.973675
19.155 0.973914
19.185 0.974149
19.215 0.974383
19.245 0.974614
19.275 0.974843
19.305 0.97507
19.335 0.975294
19.365 0.975516
19.395 0.975736
19.425 0.975954
19.455 0.976169
19.485 0.976382
19.515 0.976593
19.545 0.976802
19.575 0.977008
19.605 0.977213
19.635 0.977415
19.665 0.977615
19.695 0.977813
19.725 0.978009
19.755 0.978203
19.785 0.978395
19.815 0.978584
19.845 0.978772
19.875 0.978958
19.905 0.979141
19.935 0.979322
19.965 0.979502
19.995 0.979679
20.025 0.979855
20.055 0.980028
20.085 0.9802
20.115 0.980369
20.145 0.980537
20.175 0.980703
20.205 0.980866
20.235 0.981028
20.265 0.981188
20.295 0.981346
20.325 0.981503
20.355 0.981657
20.385 0.981809
20.415 0.98196
20.445 0.982109
20.475 0.982256
20.505 0.982401
20.535 0.982545
20.565 0.982687
20.595 0.982827
20.625 0.982965
20.655 0.983101
20.685 0.983236
20.715 0.983369
20.745 0.983501
20.775 0.983631
20.805 0.983759
20.835 0.983885
20.865 0.98401
20.895 0.984133
20.925 0.984254
20.955 0.984374
20.985 0.984493
21.015 0.984609
21.045 0.984725
21.075 0.984838
21.105 0.98495
21.135 0.985061
21.165 0.98517
21.195 0.985277
21.225 0.985383
21.255 0.985488
21.285 0.985591
21.315 0.985692
21.345 0.985793
21.375 0.985891
21.405 0.985989
21.435 0.986085
21.465 0.986179
21.495 0.986272
21.525 0.986364
21.555 0.986454
21.585 0.986543
21.615 0.986631
21.645 0.986718
21.675 0.986803
21.705 0.986886
21.735 0.986969
21.765 0.98705
21.795 0.98713
21.825 0.987209
21.855 0.987286
21.885 0.987363
21.915 0.987438
21.945 0.987512
21.975 0.987584
22.005 0.987656
22.035 0.987726
22.065 0.987796
22.095 0.987864
22.125 0.987931
22.155 0.987996
22.185 0.988061
22.215 0.988125
22.245 0.988187
22.275 0.988249
22.305 0.988309
22.335 0.988369
22.365 0.988427
22.395 0.988485
22.425 0.988541
22.455 0.988597
22.485 0.988651
22.515 0.988705
22.545 0.988757
22.575 0.988809
22.605 0.988859
22.635 0.988909
22.665 0.988958
22.695 0.989006
22.725 0.989053
22.755 0.989099
22.785 0.989145
22.815 0.989189
22.845 0.989233
22.875 0.989276
22.905 0.989318
22.935 0.98936
22.965 0.9894
22.995 0.98944
23.025 0.989479
23.055 0.989517
23.085 0.989555
23.115 0.989592
23.145 0.989628
23.175 0.989664
23.205 0.989698
23.235 0.989733
23.265 0.989766
23.295 0.989799
23.325 0.989831
23.355 0.989863
23.385 0.989894
23.415 0.989924
23.445 0.989954
23.475 0.989983
23.505 0.990012
23.535 0.99004
23.565 0.990068
23.595 0.990095
23.625 0.990122
23.655 0.990148
23.685 0.990174
23.715 0.990199
23.745 0.990224
23.775 0.990248
23.805 0.990272
23.835 0.990296
23.865 0.990319
23.895 0.990341
23.925 0.990364
23.955 0.990386
23.985 0.990407
24.015 0.990429
24.045 0.990449
24.075 0.99047
24.105 0.99049
24.135 0.99051
24.165 0.99053
24.195 0.99055
24.225 0.990569
24.255 0.990588
24.285 0.990607
24.315 0.990625
24.345 0.990643
24.375 0.990662
24.405 0.99068
24.435 0.990697
24.465 0.990715
24.495 0.990733
24.525 0.99075
24.555 0.990767
24.585 0.990784
24.615 0.990801
24.645 0.990818
24.675 0.990835
24.705 0.990852
24.735 0.990869
24.765 0.990886
24.795 0.990902
24.825 0.990919
24.855 0.990936
24.885 0.990953
24.915 0.990969
24.945 0.990986
24.975 0.991003
25.005 0.99102
25.035 0.991037
25.065 0.991054
25.095 0.991072
25.125 0.991089
25.155 0.991106
25.185 0.991124
25.215 0.991142
25.245 0.99116
25.275 0.991178
25.305 0.991196
25.335 0.991215
25.365 0.991234
25.395 0.991253
25.425 0.991272
25.455 0.991291
25.485 0.991311
25.515 0.991331
25.545 0.991351
25.575 0.991372
25.605 0.991393
25.635 0.991414
25.665 0.991436
25.695 0.991458
25.725 0.99148
25.755 0.991503
25.785 0.991526
25.815 0.991549
25.845 0.991573
25.875 0.991598
25.905 0.991622
25.935 0.991648
25.965 0.991673
25.995 0.9917
26.025 0.991726
26.055 0.991753
26.085 0.991781
26.115 0.991809
26.145 0.991838
26.175 0.991867
26.205 0.991897
26.235 0.991928
26.265 0.991959
26.295 0.99199
26.325 0.992022
26.355 0.992055
26.385 0.992089
26.415 0.992123
26.445 0.992158
26.475 0.992193
26.505 0.99223
26.535 0.992266
26.565 0.992304
26.595 0.992342
26.625 0.992381
26.655 0.992421
26.685 0.992462
26.715 0.992503
26.745 0.992545
26.775 0.992588
26.805 0.992632
26.835 0.992677
26.865 0.992722
26.895 0.992768
26.925 0.992815
26.955 0.992863
26.985 0.992912
27.015 0.992962
27.045 0.993013
27.075 0.993064
27.105 0.993117
27.135 0.99317
27.165 0.993225
27.195 0.99328
27.225 0.993337
27.255 0.993394
27.285 0.993452
27.315 0.993512
27.345 0.993572
27.375 0.993634
27.405 0.993697
27.435 0.99376
27.465 0.993825
27.495 0.993891
27.525 0.993958
27.555 0.994026
27.585 0.994095
27.615 0.994165
27.645 0.994237
27.675 0.99431
27.705 0.994384
27.735 0.994459
27.765 0.994535
27.795 0.994612
27.825 0.994691
27.855 0.994771
27.885 0.994852
27.915 0.994935
27.945 0.995019
27.975 0.995104
28.005 0.99519
28.035 0.995278
28.065 0.995367
28.095 0.995457
28.125 0.995549
28.155 0.995642
28.185 0.995737
28.215 0.995833
28.245 0.99593
28.275 0.996029
28.305 0.996129
28.335 0.99623
28.365 0.996333
28.395 0.996438
28.425 0.996544
28.455 0.996652
28.485 0.996761
28.515 0.996871
28.545 0.996983
28.575 0.997097
28.605 0.997212
28.635 0.997329
28.665 0.997447
28.695 0.997567
28.725 0.997688
28.755 0.997811
28.785 0.997936
28.815 0.998063
28.845 0.998191
28.875 0.99832
28.905 0.998452
28.935 0.998585
28.965 0.99872
28.995 0.998856
29.025 0.998995
29.055 0.999134
29.085 0.999276
29.115 0.99942
29.145 0.999565
29.175 0.999712
29.205 0.999861
29.235 1.00001
29.265 1.00016
29.295 1.00032
29.325 1.00047
29.355 1.00063
29.385 1.00079
29.415 1.00095
29.445 1.00112
29.475 1.00128
29.505 1.00145
29.535 1.00162
29.565 1.00179
29.595 1.00197
29.625 1.00214
29.655 1.00232
29.685 1.0025
29.715 1.00268
29.745 1.00286
29.775 1.00305
29.805 1.00324
29.835 1.00343
29.865 1.00362
29.895 1.00381
29.925 1.00401
29.955 1.00421
29.985 1.00441
