# r	rdf(r)
0.015 0.00100108
0.045 0.00100108
0.075 0.00100108
0.105 0.00100108
0.135 0.00100108
0.165 0.00100108
0.195 0.00100108
0.225 0.00100108
0.255 0.00100108
0.285 0.00100108
0.315 0.00100108
0.345 0.00100108
0.375 0.00100108
0.405 0.00100108
0.435 0.00100108
0.465 0.00100108
0.495 0.00100108
0.525 0.00100108
0.555 0.00100108
0.585 0.00100108
0.615 0.00100108
0.645 0.00100108
0.675 0.00100108
0.705 0.00100108
0.735 0.00100108
0.765 0.00100108
0.795 0.00100108
0.825 0.00100108
0.855 0.00100108
0.885 0.00100108
0.915 0.00100108
0.945 0.00100108
0.975 0.00100108
1.005 0.00100108
1.035 0.00100108
1.065 0.00100108
1.095 0.00100108
1.125 0.00100108
1.155 0.00100108
1.185 0.00100108
1.215 0.00100108
1.245 0.00100108
1.275 0.00100108
1.305 0.00100108
1.335 0.00100108
1.365 0.00100108
1.395 0.00100108
1.425 0.00100108
1.455 0.00100108
1.485 0.00100108
1.515 0.00100108
1.545 0.00100108
1.575 0.00100108
1.605 0.00100108
1.635 0.00100108
1.665 0.00100108
1.695 0.00100108
1.725 0.00100108
1.755 0.00100108
1.785 0.00100108
1.815 0.00100108
1.845 0.00100108
1.875 0.00100108
1.905 0.00100108
1.935 0.00100108
1.965 0.00100108
1.995 0.00100108
2.025 0.00100108
2.055 0.00100108
2.085 0.00100108
2.115 0.00100108
2.145 0.00100108
2.175 0.00100108
2.205 0.00100108
2.235 0.00100108
2.265 0.00100108
2.295 0.00100108
2.325 0.00100108
2.355 0.00100108
2.385 0.00100108
2.415 0.00100108
2.445 0.00100108
2.475 0.00100108
2.505 0.00100108
2.535 0.00100108
2.565 0.00100108
2.595 0.00100108
2.625 0.00100108
2.655 0.00100108
2.685 0.00100108
2.715 0.00100108
2.745 0.00100108
2.775 0.00100108
2.805 0.00100108
2.835 0.00100108
2.865 0.00100108
2.895 0.00100108
2.925 0.00100108
2.955 0.00100108
2.985 0.00100108
3.015 0.00100108
3.045 0.00100108
3.075 0.00100108
3.105 0.00100108
3.135 0.00100108
3.165 0.00100108
3.195 0.00100108
3.225 0.00100108
3.255 0.00100108
3.285 0.00100108
3.315 0.00100108
3.345 0.00100108
3.375 0.00100108
3.405 0.00100108
3.435 0.00100108
3.465 0.00100108
3.495 0.00100108
3.525 0.00100108
3.555 0.00100108
3.585 0.00100108
3.615 0.00100108
3.645 0.00100108
3.675 0.00100108
3.705 0.00100108
3.735 0.00100108
3.765 0.00100108
3.795 0.00100108
3.825 0.00100108
3.855 0.00100108
3.885 0.00100108
3.915 0.00100108
3.945 0.00100108
3.975 0.00154508
4.005 0.00100108
4.035 0.00100108
4.065 0.00182429
4.095 0.00218522
4.125 0.00267593
4.155 0.00329395
4.185 0.00403678
4.215 0.00490195
4.245 0.00588696
4.275 0.00698934
4.305 0.00820659
4.335 0.00953624
4.365 0.0109758
4.395 0.0125228
4.425 0.0141747
4.455 0.0159291
4.485 0.0177834
4.515 0.0197352
4.545 0.0217821
4.575 0.0239214
4.605 0.0261508
4.635 0.0284677
4.665 0.0308697
4.695 0.0333542
4.725 0.0359189
4.755 0.0385611
4.785 0.0412785
4.815 0.0440685
4.845 0.0469287
4.875 0.0498565
4.905 0.0528494
4.935 0.0559047
4.965 0.0590194
4.995 0.0621908
5.025 0.0654159
5.055 0.0686918
5.085 0.0720158
5.115 0.075385
5.145 0.0787965
5.175 0.0822474
5.205 0.085735
5.235 0.0892563
5.265 0.0928084
5.295 0.0963886
5.325 0.0999939
5.355 0.103622
5.385 0.107269
5.415 0.110932
5.445 0.11461
5.475 0.118298
5.505 0.121994
5.535 0.125696
5.565 0.129399
5.595 0.133103
5.625 0.136802
5.655 0.140496
5.685 0.14418
5.715 0.147853
5.745 0.151515
5.775 0.155167
5.805 0.158811
5.835 0.162447
5.865 0.166077
5.895 0.169701
5.925 0.173321
5.955 0.176938
5.985 0.180553
