# r	rdf(r)
10.125 0.831545
10.155 0.832147
10.185 0.83274
10.215 0.833327
10.245 0.83391
10.275 0.834491
10.305 0.835072
10.335 0.835655
10.365 0.836239
10.395 0.836823
10.425 0.837409
10.455 0.837995
10.485 0.838582
10.515 0.83917
10.545 0.839758
10.575 0.840348
10.605 0.840938
10.635 0.841529
10.665 0.842121
10.695 0.842713
10.725 0.843307
10.755 0.8439
10.785 0.844495
10.815 0.84509
10.845 0.845686
10.875 0.846283
10.905 0.84688
10.935 0.847477
10.965 0.848075
10.995 0.848674
11.025 0.849274
11.055 0.849873
11.085 0.850474
11.115 0.851075
11.145 0.851676
11.175 0.852278
11.205 0.85288
11.235 0.853483
11.265 0.854086
11.295 0.854689
11.325 0.855293
11.355 0.855897
11.385 0.856501
11.415 0.857106
11.445 0.857711
11.475 0.858317
11.505 0.858922
11.535 0.859528
11.565 0.860134
11.595 0.860741
11.625 0.861347
11.655 0.861954
11.685 0.862561
11.715 0.863168
11.745 0.863775
11.775 0.864382
11.805 0.864989
11.835 0.865597
11.865 0.866204
11.895 0.866812
11.925 0.86742
11.955 0.868027
11.985 0.868635
12.015 0.869242
12.045 0.86985
12.075 0.870457
12.105 0.871065
12.135 0.871672
12.165 0.872279
12.195 0.872886
12.225 0.873493
12.255 0.8741
12.285 0.874707
12.315 0.875313
12.345 0.87592
12.375 0.876526
12.405 0.877131
12.435 0.877737
12.465 0.878342
12.495 0.878947
12.525 0.879552
12.555 0.880156
12.585 0.88076
12.615 0.881364
12.645 0.881967
12.675 0.88257
12.705 0.883172
12.735 0.883774
12.765 0.884376
12.795 0.884977
12.825 0.885577
12.855 0.886177
12.885 0.886777
12.915 0.887376
12.945 0.887975
12.975 0.888573
13.005 0.88917
13.035 0.889767
13.065 0.890363
13.095 0.890959
13.125 0.891554
13.155 0.892148
13.185 0.892741
13.215 0.893334
13.245 0.893926
13.275 0.894518
13.305 0.895109
13.335 0.895698
13.365 0.896288
13.395 0.896876
13.425 0.897463
13.455 0.89805
13.485 0.898636
13.515 0.899221
13.545 0.899805
13.575 0.900388
13.605 0.90097
13.635 0.901552
13.665 0.902132
13.695 0.902711
13.725 0.90329
13.755 0.903867
13.785 0.904444
13.815 0.905019
13.845 0.905593
13.875 0.906167
13.905 0.906739
13.935 0.90731
13.965 0.90788
13.995 0.908448
14.025 0.909016
14.055 0.909582
14.085 0.910148
14.115 0.910712
14.145 0.911275
14.175 0.911836
14.205 0.912397
14.235 0.912956
14.265 0.913513
14.295 0.91407
14.325 0.914625
14.355 0.915179
14.385 0.915731
14.415 0.916282
14.445 0.916832
14.475 0.91738
14.505 0.917927
14.535 0.918472
14.565 0.919016
14.595 0.919559
14.625 0.9201
14.655 0.920639
14.685 0.921177
14.715 0.921714
14.745 0.922248
14.775 0.922782
14.805 0.923313
14.835 0.923843
14.865 0.924372
14.895 0.924899
14.925 0.925424
14.955 0.925947
14.985 0.926469
15.015 0.926989
15.045 0.927507
15.075 0.928024
15.105 0.928538
15.135 0.929051
15.165 0.929562
15.195 0.930072
15.225 0.930579
15.255 0.931085
15.285 0.931589
15.315 0.932091
15.345 0.932591
15.375 0.933089
15.405 0.933585
15.435 0.934079
15.465 0.934572
15.495 0.935062
15.525 0.93555
15.555 0.936037
15.585 0.936521
15.615 0.937003
15.645 0.937483
15.675 0.937961
15.705 0.938437
15.735 0.938911
15.765 0.939382
15.795 0.939852
15.825 0.940319
15.855 0.940784
15.885 0.941247
15.915 0.941708
15.945 0.942167
15.975 0.942623
16.005 0.943077
16.035 0.943528
16.065 0.943978
16.095 0.944425
16.125 0.944869
16.155 0.945312
16.185 0.945752
16.215 0.946189
16.245 0.946625
16.275 0.947057
16.305 0.947488
16.335 0.947915
16.365 0.948341
16.395 0.948764
16.425 0.949184
16.455 0.949602
16.485 0.950017
16.515 0.95043
16.545 0.95084
16.575 0.951248
16.605 0.951653
16.635 0.952055
16.665 0.952455
16.695 0.952852
16.725 0.953246
16.755 0.953638
16.785 0.954026
16.815 0.954413
16.845 0.954796
16.875 0.955177
16.905 0.955555
16.935 0.95593
16.965 0.956302
16.995 0.956672
17.025 0.957039
17.055 0.957403
17.085 0.957765
17.115 0.958124
17.145 0.95848
17.175 0.958834
17.205 0.959185
17.235 0.959533
17.265 0.959879
17.295 0.960222
17.325 0.960563
17.355 0.960901
17.385 0.961236
17.415 0.961569
17.445 0.961899
17.475 0.962227
17.505 0.962552
17.535 0.962874
17.565 0.963194
17.595 0.963512
17.625 0.963827
17.655 0.964139
17.685 0.964449
17.715 0.964757
17.745 0.965062
17.775 0.965365
17.805 0.965665
17.835 0.965963
17.865 0.966258
17.895 0.966551
17.925 0.966842
17.955 0.96713
17.985 0.967416
18.015 0.9677
18.045 0.967981
18.075 0.96826
18.105 0.968536
18.135 0.96881
18.165 0.969082
18.195 0.969352
18.225 0.969619
18.255 0.969884
18.285 0.970147
18.315 0.970407
18.345 0.970665
18.375 0.970921
18.405 0.971175
18.435 0.971426
18.465 0.971676
18.495 0.971923
18.525 0.972168
18.555 0.972411
18.585 0.972651
18.615 0.97289
18.645 0.973126
18.675 0.97336
18.705 0.973592
18.735 0.973822
18.765 0.97405
18.795 0.974276
18.825 0.9745
18.855 0.974721
18.885 0.974941
18.915 0.975158
18.945 0.975374
18.975 0.975587
19.005 0.975799
19.035 0.976008
19.065 0.976216
19.095 0.976421
19.125 0.976625
19.155 0.976826
19.185 0.977026
19.215 0.977223
19.245 0.977419
19.275 0.977613
19.305 0.977805
19.335 0.977995
19.365 0.978183
19.395 0.978369
19.425 0.978554
19.455 0.978736
19.485 0.978917
19.515 0.979096
19.545 0.979273
