# l	P(l)/(4*pi*l^2)
5.345 0.024391
5.355 0.0206352
5.365 0.017334
5.375 0.0144396
5.385 0.0119046
5.395 0.00968121
5.405 0.0077286
5.415 0.00603216
5.425 0.00458394
5.435 0.003376
5.445 0.0024004
5.455 0.00164917
5.465 0.00113481
5.475 0.00113481
5.485 0.00113481
5.495 0.00113481
5.505 0.00113481
5.515 0.00113481
5.525 0.00113481
5.535 0.00113481
5.545 0.00113481
5.555 0.00113481
5.565 0.00113481
5.575 0.00113481
5.585 0.00113481
5.595 0.00113481
5.605 0.00113481
5.615 0.00113481
5.625 0.00113481
5.635 0.00113481
5.645 0.00113481
5.655 0.00113481
5.665 0.00113481
5.675 0.00113481
5.685 0.00113481
5.695 0.00113481
5.705 0.00113481
5.715 0.00113481
5.725 0.00113481
5.735 0.00113481
5.745 0.00113481
5.755 0.00113481
5.765 0.00113481
5.775 0.00113481
5.785 0.00113481
5.795 0.00113481
5.805 0.00113481
5.815 0.00113481
5.825 0.00113481
5.835 0.00113481
5.845 0.00113481
5.855 0.00113481
5.865 0.00113481
5.875 0.00113481
5.885 0.00113481
5.895 0.00113481
5.905 0.00113481
5.915 0.00113481
5.925 0.00113481
5.935 0.00113481
5.945 0.00113481
5.955 0.00113481
5.965 0.00113481
5.975 0.00113481
5.985 0.00113481
5.995 0.00113481
6.005 0.00113481
6.015 0.00113481
6.025 0.00113481
6.035 0.00113481
6.045 0.00113481
6.055 0.00113481
6.065 0.00113481
6.075 0.00113481
6.085 0.00113481
6.095 0.00113481
6.105 0.00113481
6.115 0.00113481
6.125 0.00113481
6.135 0.00113481
6.145 0.00113481
6.155 0.00113481
6.165 0.00113481
6.175 0.00113481
6.185 0.00113481
6.195 0.00113481
6.205 0.00113481
6.215 0.00113481
6.225 0.00113481
6.235 0.00113481
6.245 0.00113481
6.255 0.00113481
6.265 0.00113481
6.275 0.00113481
6.285 0.00113481
6.295 0.00113481
6.305 0.00113481
6.315 0.00113481
6.325 0.00113481
6.335 0.00113481
6.345 0.00113481
6.355 0.00113481
6.365 0.00113481
6.375 0.00113481
6.385 0.00113481
6.395 0.00113481
6.405 0.00113481
6.415 0.00113481
6.425 0.00113481
6.435 0.00113481
6.445 0.00113481
6.455 0.00113481
6.465 0.00113481
6.475 0.00113481
6.485 0.00113481
6.495 0.00113481
6.505 0.00113481
6.515 0.00113481
6.525 0.00113481
6.535 0.00113481
6.545 0.00113481
6.555 0.00113481
6.565 0.00113481
6.575 0.00113481
6.585 0.00113481
6.595 0.00113481
6.605 0.00113481
6.615 0.00113481
6.625 0.00113481
6.635 0.00113481
6.645 0.00113481
6.655 0.00113481
6.665 0.00113481
6.675 0.00113481
6.685 0.00113481
6.695 0.00113481
6.705 0.00113481
6.715 0.00113481
6.725 0.00113481
6.735 0.00113481
6.745 0.00113481
6.755 0.00113481
6.765 0.00113481
6.775 0.00113481
6.785 0.00113481
6.795 0.00113481
6.805 0.00113481
6.815 0.00113481
6.825 0.00113481
6.835 0.00113481
6.845 0.00113481
6.855 0.00113481
6.865 0.00113481
6.875 0.00113481
6.885 0.00113481
6.895 0.00113481
6.905 0.00113481
6.915 0.00113481
6.925 0.00113481
6.935 0.00113481
6.945 0.00113481
6.955 0.00113481
6.965 0.00113481
6.975 0.00113481
6.985 0.00113481
6.995 0.00113481
